slug,cutoff_date,bundle_class,forecast_start_date,plot_start,plot_end,source_path,target_path,sha256,bytes
20210123_exal_m_t1,2021-01-23,short_window_synth_bundle,2021-01-24,2020-12-26,2021-02-20,artifacts/five_cutoff_setup_support/20210123_exal_m_t1/figures/forecats.png,figures/forecast_context_by_cutoff/cutoff_2021_01_23_forecast_context.png,e823a070fde4f4cbd57bdf5e4deefe043386ff6c6040e5925167a571c59d2352,920375
20211112_exal_m_t1,2021-11-12,short_window_synth_bundle,2021-11-13,2021-10-15,2021-12-10,artifacts/five_cutoff_setup_support/20211112_exal_m_t1/figures/forecats.png,figures/forecast_context_by_cutoff/cutoff_2021_11_12_forecast_context.png,6b3a1971d55843ca39c98d35025396bcd0a5635ba476655a20db0c091972d624,324322
20211221_exal_m_t1,2021-12-21,histfix_long_history_bundle,2021-12-22,2021-11-23,2022-01-18,artifacts/five_cutoff_setup_support/20211221_exal_m_t1/figures/forecats.png,figures/forecast_context_by_cutoff/cutoff_2021_12_21_forecast_context.png,10708eef3b61a49ea07adce13b777905aa58fbcb04c3e5f02a4201bd95fecd22,584645
20220511_exal_m_t1,2022-05-11,histfix_long_history_bundle,2022-05-12,2022-04-13,2022-06-08,artifacts/five_cutoff_setup_support/20220511_exal_m_t1/figures/forecats.png,figures/forecast_context_by_cutoff/cutoff_2022_05_11_forecast_context.png,144cc08a45565a580d83081b0daf97a4e7d583b7b106111f97df074be32cfacc,177271
20221225_exal_m_t1,2022-12-25,histfix_long_history_bundle,2022-12-26,2022-11-27,2023-01-22,artifacts/five_cutoff_setup_support/20221225_exal_m_t1/figures/forecats.png,figures/forecast_context_by_cutoff/cutoff_2022_12_25_forecast_context.png,c3b641db219510a14f7de9e7bf47ca3a7c92211483f03ab4f53072b0e9ec3b20,693307
