label,filename,role,generation_mode,source_path,local_bundle_path,sha256
fig:dry_quantile,historical_summary_dry_period.png,Dry-period historical summary,rendered_from_current_multivar_run,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_publication_replay_representatives_20260506/20220511_exal_m_t1/runs/multimodel_20220511_v8_eps180cf1_exdqlm_multivar_keep_featurecov_cf1,artifacts/historical_support_from_current_models/figures/historical_summary_dry_period.png,eba6d8701c9186b0af3010d199f88becccaa275eed797448ba98de2cd1b099f6
fig:rainy_quantile,historical_summary_wet_period.png,Rainy-period historical summary,rendered_from_current_multivar_run,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_publication_replay_representatives_20260506/20220511_exal_m_t1/runs/multimodel_20220511_v8_eps180cf1_exdqlm_multivar_keep_featurecov_cf1,artifacts/historical_support_from_current_models/figures/historical_summary_wet_period.png,26b4c06fa3d8cf7f024ff2f0cab498fe16aaf5fca85af376e64cc1c51eb40449
companion:rainy_quantile_fullrange,historical_summary_wet_period_fullrange.png,Wet-period historical summary (0-20 companion range),rendered_from_current_multivar_run,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_publication_replay_representatives_20260506/20220511_exal_m_t1/runs/multimodel_20220511_v8_eps180cf1_exdqlm_multivar_keep_featurecov_cf1,artifacts/historical_support_from_current_models/figures/historical_summary_wet_period_fullrange.png,7e41a0d3d79d614532286c14ace29332541a24c99bb1d471f7635797dc76346e
fig:80_components,historical_component_80month.png,Long-cycle component summary,rendered_from_current_multivar_run,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_publication_replay_representatives_20260506/20220511_exal_m_t1/runs/multimodel_20220511_v8_eps180cf1_exdqlm_multivar_keep_featurecov_cf1,artifacts/historical_support_from_current_models/figures/historical_component_80month.png,3534cbe3ad07946cf748d6fcfc6189cf3e899c03a7bf3c8fd2ab8980024c7339
fig:synth2,reference_synthesis_univariate.png,Historical-only reference synthesis,copied_from_current_univar_output,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_quantile_featurecov_custom_discount_probe_20260422/runs/multimodel_20221225_v8_quantile_featurecov_custom_discount_probe_v1_exdqlm_univar/post/outputs/multimodel_20221225_v8_quantile_featurecov_custom_discount_probe_v1_exdqlm_univar/exdqlm_univar_synth_cutoff_window_posterior_samples.png,artifacts/historical_support_from_current_models/figures/reference_synthesis_univariate.png,0bf7986c74b43945d2aa846f4cdc26f322b84b442a2bcac2f191210c992052e4
