cutoff,slug,family,variant,source_path,target_path,sha256,bytes
2021-01-23,20210123_exal_m_t1,multivariate_synthesis,primary,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_all_cutoffs_20260512/runs/multimodel_20210123_v8_he2pubgdpc1r1_exdqlm_multivar_keep/post/outputs/multimodel_20210123_v8_he2pubgdpc1r1_exdqlm_multivar_keep/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples.png,figures/multivariate_synthesis_by_cutoff/cutoff_2021_01_23_multivariate_synthesis.png,789efaa031dcc5b11edb86e18631c5c1151d5d7f705649c9f46b82a8951303a2,423885
2021-01-23,20210123_exal_m_t1,multivariate_synthesis,overlay,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_all_cutoffs_20260512/runs/multimodel_20210123_v8_he2pubgdpc1r1_exdqlm_multivar_keep/post/outputs/multimodel_20210123_v8_he2pubgdpc1r1_exdqlm_multivar_keep/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples_with_raw_ensembles.png,figures/multivariate_synthesis_by_cutoff/cutoff_2021_01_23_multivariate_synthesis_with_reference_ensembles.png,8a7dfc644c2263dc6471680896738565dc95c73d0af4a8e08efdce855ec78d43,1208277
2021-11-12,20211112_exal_m_t1,multivariate_synthesis,primary,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_all_cutoffs_20260512/runs/multimodel_20211112_v8_he2pubgdpc1r1_exdqlm_multivar_keep/post/outputs/multimodel_20211112_v8_he2pubgdpc1r1_exdqlm_multivar_keep/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples.png,figures/multivariate_synthesis_by_cutoff/cutoff_2021_11_12_multivariate_synthesis.png,e8af1262beefdade3dfeeba5102c326ab8f0c5659ac4e053c7f0f475786298d5,378566
2021-11-12,20211112_exal_m_t1,multivariate_synthesis,overlay,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_all_cutoffs_20260512/runs/multimodel_20211112_v8_he2pubgdpc1r1_exdqlm_multivar_keep/post/outputs/multimodel_20211112_v8_he2pubgdpc1r1_exdqlm_multivar_keep/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples_with_raw_ensembles.png,figures/multivariate_synthesis_by_cutoff/cutoff_2021_11_12_multivariate_synthesis_with_reference_ensembles.png,853d8b47dc2513023db67705ba929aa727f5406eea0aa6b7b44585204f64fe64,538354
2021-12-21,20211221_exal_m_t1,multivariate_synthesis,primary,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_all_cutoffs_20260512/runs/multimodel_20211221_v8_he2pubgdpc1r1_exdqlm_multivar_keep/post/outputs/multimodel_20211221_v8_he2pubgdpc1r1_exdqlm_multivar_keep/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples.png,figures/multivariate_synthesis_by_cutoff/cutoff_2021_12_21_multivariate_synthesis.png,95287e8862a4c64af9a71096b49e32fd2da3ef764925b1bceb2725d262201e15,418243
2021-12-21,20211221_exal_m_t1,multivariate_synthesis,overlay,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_all_cutoffs_20260512/runs/multimodel_20211221_v8_he2pubgdpc1r1_exdqlm_multivar_keep/post/outputs/multimodel_20211221_v8_he2pubgdpc1r1_exdqlm_multivar_keep/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples_with_raw_ensembles.png,figures/multivariate_synthesis_by_cutoff/cutoff_2021_12_21_multivariate_synthesis_with_reference_ensembles.png,c10bb317c40809872cdb2b13b5682997cf387dcffd12a45285d51427cc45e5b3,763950
2022-05-11,20220511_exal_m_t1,multivariate_synthesis,primary,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_all_cutoffs_20260512/runs/multimodel_20220511_v8_he2pubgdpc1r1_exdqlm_multivar_keep/post/outputs/multimodel_20220511_v8_he2pubgdpc1r1_exdqlm_multivar_keep/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples.png,figures/multivariate_synthesis_by_cutoff/cutoff_2022_05_11_multivariate_synthesis.png,77da1e0612f3a9c6c6b5e51c1ad1940693586c613184c2d5c0eec333e0c6a282,307284
2022-05-11,20220511_exal_m_t1,multivariate_synthesis,overlay,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_all_cutoffs_20260512/runs/multimodel_20220511_v8_he2pubgdpc1r1_exdqlm_multivar_keep/post/outputs/multimodel_20220511_v8_he2pubgdpc1r1_exdqlm_multivar_keep/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples_with_raw_ensembles.png,figures/multivariate_synthesis_by_cutoff/cutoff_2022_05_11_multivariate_synthesis_with_reference_ensembles.png,74fc25b9673f85745545deb58131c0467a64d5030e388c7e8ee6ddba8c7b3ef2,333253
2022-12-25,20221225_exal_m_t1,multivariate_synthesis,primary,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_all_cutoffs_20260512/runs/multimodel_20221225_v8_he2pubgdpc1r1_exdqlm_multivar_keep/post/outputs/multimodel_20221225_v8_he2pubgdpc1r1_exdqlm_multivar_keep/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples.png,figures/multivariate_synthesis_by_cutoff/cutoff_2022_12_25_multivariate_synthesis.png,5c16421ae35fda59b704b9f55f5548527aee4e8a4850aa7020322b95c9fd00f0,454016
2022-12-25,20221225_exal_m_t1,multivariate_synthesis,overlay,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_exdqlm_multivar_keep_all_cutoffs_20260512/runs/multimodel_20221225_v8_he2pubgdpc1r1_exdqlm_multivar_keep/post/outputs/multimodel_20221225_v8_he2pubgdpc1r1_exdqlm_multivar_keep/exdqlm_multivar_synth_keep_cutoff_window_posterior_samples_with_raw_ensembles.png,figures/multivariate_synthesis_by_cutoff/cutoff_2022_12_25_multivariate_synthesis_with_reference_ensembles.png,f34cd3ee0732db57e7e731d8ea5d6ecacd9bf3d8318a96107cb5b4a2627946c9,767888
