"component","component_contract","display_label","filename","relative_path","include_in_manuscript","rendered_at_utc"
1,"raw_state_component","Raw state component 1","component_01_raw_state_component.png","analysis_figures/component_evolution/component_01_raw_state_component.png",FALSE,"2026-06-11T09:16:58Z"
2,"raw_state_component","Raw state component 2","component_02_raw_state_component.png","analysis_figures/component_evolution/component_02_raw_state_component.png",FALSE,"2026-06-11T09:17:00Z"
3,"raw_state_component","Raw state component 3","component_03_raw_state_component.png","analysis_figures/component_evolution/component_03_raw_state_component.png",FALSE,"2026-06-11T09:17:02Z"
4,"raw_state_component","Raw state component 4","component_04_raw_state_component.png","analysis_figures/component_evolution/component_04_raw_state_component.png",FALSE,"2026-06-11T09:17:04Z"
5,"raw_state_component","Raw state component 5","component_05_raw_state_component.png","analysis_figures/component_evolution/component_05_raw_state_component.png",FALSE,"2026-06-11T09:17:06Z"
6,"raw_state_component","Raw state component 6","component_06_raw_state_component.png","analysis_figures/component_evolution/component_06_raw_state_component.png",FALSE,"2026-06-11T09:17:08Z"
7,"raw_state_component","Raw state component 7","component_07_raw_state_component.png","analysis_figures/component_evolution/component_07_raw_state_component.png",FALSE,"2026-06-11T09:17:10Z"
6,"component_6_plus_trend_component_1_samplewise","Component 6 plus trend component 1 (samplewise)","component_06_component_6_plus_trend_component_1_samplewise.png","analysis_figures/component_evolution/component_06_component_6_plus_trend_component_1_samplewise.png",FALSE,"2026-06-11T09:17:12Z"
