label,role,generated_tex,source_path,sha256,size_bytes,tex_line,source_class,note
tab:benchmark_crps_models,Five-cutoff benchmark table,generated/article_table_includes/table_benchmark_crps_rows.tex,"generated/he2_publication_manifest_snapshot/he2_bayesian_publication_manifest.csv, generated/exal_m_t1_five_run_sources",6595df437b871fca6fab3516c0be55463e5771a55c6fec8a0546bf8a8536ffb6,115,343,publication_manifest_plus_representative_raw_baselines,Generated from the frozen HE2 publication manifest plus the raw-baseline rows in the five exAL-M-T1 CRPS summaries
tab:components_23_31,Representative covariate-effects table,generated/article_table_includes/table_components_23_31_rows.tex,generated/exal_m_t1_20221225/covariate_effects_summary.csv,19bafa243982d7121f1434c57049d3c48d5aaefa2cf57b873e245d93d6f4af6e,462,358,current_selected_model_representative,Generated from the representative 2022-12-25 exAL-M-T1 covariate-effects export
tab:gamma_sigma_intervals1,Appendix gamma summary,generated/article_table_includes/table_gamma_rows.tex,generated/exal_m_t1_20221225/gamma_summary.csv,6c4ee9d608854a32b1c1294dc24a8de64ee5599daf7226d671c7eea6d00c3cca,675,453,current_selected_model_representative,Generated from the representative 2022-12-25 exAL-M-T1 gamma export
tab:gamma_sigma_intervals2,Appendix sigma summary,generated/article_table_includes/table_sigma_rows.tex,generated/exal_m_t1_20221225/sigma_summary.csv,f61347fc2b1cfe65a5bad46682af3cd8db5a5c46fd4b0ca42de4be1424a3c1d6,770,453,current_selected_model_representative,Generated from the representative 2022-12-25 exAL-M-T1 sigma export
