"covariate","quantile","center","q2_5","q97_5","ci_str","time_index","notes"
"Intercept",5,"0.0802898836511051","0.0551260972377529","0.106518267318207","0.055, 0.107",12995,""
"Intercept",50,"-0.0240659413178741","-0.0249764771512411","-0.0231334647435831","-0.025, -0.023",12995,""
"Intercept",95,"-0.0633662553725726","-0.0884640603648638","-0.0372246839139588","-0.088, -0.037",12995,""
"Lag1",5,"0.219828637569469","0.177740511813834","0.264969722392558","0.178, 0.265",12995,""
"Lag1",50,"0.00667731618647397","0.00498037877298635","0.00846877819347022","0.005, 0.008",12995,""
"Lag1",95,"-0.154455761489758","-0.196499155272966","-0.109377401905248","-0.196, -0.109",12995,""
"Lag2",5,"-0.0130256961264636","-0.162329025616575","0.137238088652924","-0.162, 0.137",12995,""
"Lag2",50,"0.242550337236926","0.235605490830645","0.249389775859323","0.236, 0.249",12995,""
"Lag2",95,"0.116545494886253","-0.0323847189852225","0.266788845605344","-0.032, 0.267",12995,""
"Lag3",5,"-0.00609972242874152","-0.0726930174676050","0.0574895997052051","-0.073, 0.057",12995,""
"Lag3",50,"-0.134056310697766","-0.137306106375459","-0.130767051671341","-0.137, -0.131",12995,""
"Lag3",95,"0.00777702686619757","-0.0576167610169072","0.0699762156244404","-0.058, 0.070",12995,""
"Lag4",5,"-0.00827516675093557","-0.0730289717563736","0.0622000443750396","-0.073, 0.062",12995,""
"Lag4",50,"-0.0193066860208938","-0.0224706991392326","-0.0160430534140768","-0.022, -0.016",12995,""
"Lag4",95,"0.0106336482861098","-0.0534171817174871","0.0802958267883948","-0.053, 0.080",12995,""
"Lag5",5,"-0.0536369488294596","-0.0940856759719888","-0.0123446199632571","-0.094, -0.012",12995,""
"Lag5",50,"-0.0607979876438178","-0.0626300664263885","-0.0589585953641157","-0.063, -0.059",12995,""
"Lag5",95,"-0.0396921233892284","-0.0797501196972498","0.00134748467818019","-0.080, 0.001",12995,""
"PC1",5,"-0.0132014599928878","-0.0155479437568614","-0.0108402357749249","-0.016, -0.011",12995,""
"PC1",50,"-0.00193343187647028","-0.00199331358449453","-0.00187286716967146","-0.002, -0.002",12995,""
"PC1",95,"0.0115238615913535","0.00919750858989993","0.0138569507120758","0.009, 0.014",12995,""
"Precipitation",5,"0.0368380972426847","-0.117986188395811","0.191598348135186","-0.118, 0.192",12995,""
"Precipitation",50,"0.0399042851124126","0.0326031286640433","0.0472263209774956","0.033, 0.047",12995,""
"Precipitation",95,"0.0312175438225874","-0.123147676619499","0.185987605695285","-0.123, 0.186",12995,""
"Soil Moisture",5,"-0.249623184832676","-0.417832332978812","-0.0881937635465439","-0.418, -0.088",12995,""
"Soil Moisture",50,"0.147231256325654","0.135732691267139","0.158746392327978","0.136, 0.159",12995,""
"Soil Moisture",95,"0.269693586623458","0.100909873172422","0.430855149427883","0.101, 0.431",12995,""
