"quantile","source","stat","center","q2_5","q97_5","ci_str"
5,"GLOFAS","gamma","-0.0546093755051270","-0.0546251765977865","-0.0545929953025803","-0.055, -0.055"
5,"NWS","gamma","-0.0542297650170044","-0.0542478640610351","-0.0542113526921201","-0.054, -0.054"
5,"USGS","gamma","-0.0543342547845782","-0.0543515000618916","-0.0543167516441671","-0.054, -0.054"
20,"GLOFAS","gamma","-0.283462311543164","-0.283493343168675","-0.283431249805090","-0.283, -0.283"
20,"NWS","gamma","-0.282256837946059","-0.282295988007988","-0.282219311800928","-0.282, -0.282"
20,"USGS","gamma","-0.282936781115453","-0.282971134405274","-0.282902167607839","-0.283, -0.283"
35,"GLOFAS","gamma","-0.596128090172766","-0.596181405466052","-0.596077502649835","-0.596, -0.596"
35,"NWS","gamma","-0.581557812628969","-0.581689515408909","-0.581417503326463","-0.582, -0.581"
35,"USGS","gamma","-0.594160015001662","-0.594221868283012","-0.594098123231831","-0.594, -0.594"
50,"GLOFAS","gamma","1.06194631913912","1.06187602601621","1.06201276112474","1.062, 1.062"
50,"NWS","gamma","1.04911643037106","1.04897157969105","1.04925809023187","1.049, 1.049"
50,"USGS","gamma","1.05314986008201","1.05306161978449","1.05324182033345","1.053, 1.053"
65,"GLOFAS","gamma","0.592686509899448","0.592632346409857","0.592741472127230","0.593, 0.593"
65,"NWS","gamma","0.592891591191051","0.592822468103549","0.592961344906742","0.593, 0.593"
65,"USGS","gamma","0.593257192206049","0.593195959677710","0.593320059967236","0.593, 0.593"
80,"GLOFAS","gamma","0.283806636790692","0.283776898787729","0.283837322877175","0.284, 0.284"
80,"NWS","gamma","0.282110015161654","0.282073121702765","0.282147573623922","0.282, 0.282"
80,"USGS","gamma","0.282862881917810","0.282829442078702","0.282898875093262","0.283, 0.283"
95,"GLOFAS","gamma","0.0546464919575484","0.0546303459731277","0.0546624678575577","0.055, 0.055"
95,"NWS","gamma","0.0542258901850934","0.0542077865643978","0.0542452820451465","0.054, 0.054"
95,"USGS","gamma","0.0543335861671359","0.0543159854648660","0.0543515608130606","0.054, 0.054"
