"cutoff_date","forecast_start_date","model_id","model_family","model_variant","transfer_mode","horizon_days","n_valid","mean_crps","median_crps","sd_crps","min_crps","max_crps","n_samples_nominal","n_samples_eff_min","n_samples_eff_max","score_method","tau_rule","score_scale"
"2022-12-25","2022-12-26","exdqlm_multivar_synth_keep","synthesis","exdqlm_multivar_keep","keep",28,28,"1062666200404919.6","1011827328290203.5","503387105994082.44","146877418266601.22","2295169870610578.5",2000,2000,2000,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","glofas_ensemble","ensemble","glofas",NA,28,28,"2.9297029073491130","2.9216296537112307","0.82399230142019586","1.4918255496132784","4.6507902783783628",51,51,51,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
"2022-12-25","2022-12-26","nws_nwm_ensemble","ensemble","nws_nwm",NA,8,8,"1.6608856967038552","1.6765256697968178","1.1430116596167763","0.077456680088900720","3.7482975725818601",7,7,7,"quantile_check_loss_sum","k_over_m_plus_1","log_cms_plus1"
